Function|Category|Subcategory|Category Title|Subcategory Title|Control|Control Family|Publication|Core|Privacy Baseline|Security Control Baseline - Low|Security Control Baseline - Moderate|Security Control Baseline - High
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|IR-05|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-3|Anomalies and Events|Event data are aggregated and correlated from multiple sources and sensors|SI-06|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||||Yes
DETECT (DE)|DE.AE|DE.AE-4|Anomalies and Events|Impact of events is determined|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-4|Anomalies and Events|Impact of events is determined|CP-02|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-4|Anomalies and Events|Impact of events is determined|RA-03|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-4|Anomalies and Events|Impact of events is determined|IR-04|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-5|Anomalies and Events|Incident alert thresholds are established|IR-04|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-5|Anomalies and Events|Incident alert thresholds are established|IR-08|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.AE|DE.AE-5|Anomalies and Events|Incident alert thresholds are established|IR-05|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|AU-12|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|AC-02|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|SC-07|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|SC-05|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-1|Security Continuous Monitoring|The network is monitored to detect potential cybersecurity events|CM-03|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
DETECT (DE)|DE.CM|DE.CM-2|Security Continuous Monitoring|The physical environment is monitored to detect potential cybersecurity events|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-2|Security Continuous Monitoring|The physical environment is monitored to detect potential cybersecurity events|PE-03|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-2|Security Continuous Monitoring|The physical environment is monitored to detect potential cybersecurity events|PE-06|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-2|Security Continuous Monitoring|The physical environment is monitored to detect potential cybersecurity events|PE-20|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.CM|DE.CM-3|Security Continuous Monitoring|Personnel activity is monitored to detect potential cybersecurity events|AU-12|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-3|Security Continuous Monitoring|Personnel activity is monitored to detect potential cybersecurity events|AU-13|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.CM|DE.CM-3|Security Continuous Monitoring|Personnel activity is monitored to detect potential cybersecurity events|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-3|Security Continuous Monitoring|Personnel activity is monitored to detect potential cybersecurity events|AC-02|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-3|Security Continuous Monitoring|Personnel activity is monitored to detect potential cybersecurity events|CM-10|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-3|Security Continuous Monitoring|Personnel activity is monitored to detect potential cybersecurity events|CM-11|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-4|Security Continuous Monitoring|Malicious code is detected|SI-03|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-4|Security Continuous Monitoring|Malicious code is detected|SI-08|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
DETECT (DE)|DE.CM|DE.CM-5|Security Continuous Monitoring|Unauthorized mobile code is detected|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-5|Security Continuous Monitoring|Unauthorized mobile code is detected|SC-44|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.CM|DE.CM-5|Security Continuous Monitoring|Unauthorized mobile code is detected|SC-18|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
DETECT (DE)|DE.CM|DE.CM-5|Security Continuous Monitoring|Unauthorized mobile code is detected|IR-10|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.CM|DE.CM-6|Security Continuous Monitoring|External service provider activity is monitored to detect potential cybersecurity events|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-6|Security Continuous Monitoring|External service provider activity is monitored to detect potential cybersecurity events|SA-09|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-6|Security Continuous Monitoring|External service provider activity is monitored to detect potential cybersecurity events|PS-07|PERSONNEL SECURITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-6|Security Continuous Monitoring|External service provider activity is monitored to detect potential cybersecurity events|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-6|Security Continuous Monitoring|External service provider activity is monitored to detect potential cybersecurity events|SA-04|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|AU-12|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|CM-08|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|PE-03|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|PE-06|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|CM-03|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
DETECT (DE)|DE.CM|DE.CM-7|Security Continuous Monitoring|Monitoring for unauthorized personnel, connections, devices, and software is performed|PE-20|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.CM|DE.CM-8|Security Continuous Monitoring|Vulnerability scans are performed|RA-05|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-1|Detection Processes|Roles and responsibilities for detection are well defined to ensure accountability|CA-02|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-1|Detection Processes|Roles and responsibilities for detection are well defined to ensure accountability|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-1|Detection Processes|Roles and responsibilities for detection are well defined to ensure accountability|PM-14|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|CA-02|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|PM-14|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|AC-25|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|SA-18|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
DETECT (DE)|DE.DP|DE.DP-2|Detection Processes|Detection activities comply with all applicable requirements|SI-06|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||||Yes
DETECT (DE)|DE.DP|DE.DP-3|Detection Processes|Detection processes are tested|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-3|Detection Processes|Detection processes are tested|CA-02|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-3|Detection Processes|Detection processes are tested|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-3|Detection Processes|Detection processes are tested|PE-03|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-3|Detection Processes|Detection processes are tested|PM-14|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-3|Detection Processes|Detection processes are tested|SI-03|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-4|Detection Processes|Event detection information is communicated to appropriate parties|AU-06|AUDIT AND ACCOUNTABILITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-4|Detection Processes|Event detection information is communicated to appropriate parties|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-4|Detection Processes|Event detection information is communicated to appropriate parties|CA-02|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-4|Detection Processes|Event detection information is communicated to appropriate parties|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-4|Detection Processes|Event detection information is communicated to appropriate parties|RA-05|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-5|Detection Processes|Detection processes are continuously improved|SI-04|SYSTEM AND INFORMATION INTEGRITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-5|Detection Processes|Detection processes are continuously improved|CA-02|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-5|Detection Processes|Detection processes are continuously improved|CA-07|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-5|Detection Processes|Detection processes are continuously improved|RA-05|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-5|Detection Processes|Detection processes are continuously improved|PL-02|PLANNING|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
DETECT (DE)|DE.DP|DE.DP-5|Detection Processes|Detection processes are continuously improved|PM-14|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-1|Asset Management|Physical devices and systems within the organization are inventoried|CM-08|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-1|Asset Management|Physical devices and systems within the organization are inventoried|PM-05|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-2|Asset Management|Software platforms and applications within the organization are inventoried|CM-08|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-2|Asset Management|Software platforms and applications within the organization are inventoried|PM-05|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-3|Asset Management|Organizational communication and data flows are mapped|AC-04|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-3|Asset Management|Organizational communication and data flows are mapped|CA-03|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-3|Asset Management|Organizational communication and data flows are mapped|CA-09|ASSESSMENT, AUTHORIZATION, AND MONITORING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-3|Asset Management|Organizational communication and data flows are mapped|PL-08|PLANNING|SP 800-53 Rev. 4|Cybersecurity|Yes||Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-4|Asset Management|External information systems are catalogued|AC-20|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-4|Asset Management|External information systems are catalogued|SA-09|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-5|Asset Management|Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value |CP-02|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-5|Asset Management|Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value |RA-02|RISK ASSESSMENT|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-5|Asset Management|Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value |SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.AM|ID.AM-5|Asset Management|Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value |SC-06|SYSTEM AND COMMUNICATIONS PROTECTION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.AM|ID.AM-6|Asset Management|Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established|CP-02|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-6|Asset Management|Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established|PS-07|PERSONNEL SECURITY|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.AM|ID.AM-6|Asset Management|Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established|PM-11|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-1|Business Environment|The organization’s role in the supply chain is identified and communicated|CP-02|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-1|Business Environment|The organization’s role in the supply chain is identified and communicated|SA-12|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.BE|ID.BE-2|Business Environment|The organization’s place in critical infrastructure and its industry sector is identified and communicated|PM-08|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-3|Business Environment|Priorities for organizational mission, objectives, and activities are established and communicated|SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.BE|ID.BE-3|Business Environment|Priorities for organizational mission, objectives, and activities are established and communicated|PM-11|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-4|Business Environment|Dependencies and critical functions for delivery of critical services are established|SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.BE|ID.BE-4|Business Environment|Dependencies and critical functions for delivery of critical services are established|PM-08|PROGRAM MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-4|Business Environment|Dependencies and critical functions for delivery of critical services are established|CP-08|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-4|Business Environment|Dependencies and critical functions for delivery of critical services are established|PE-09|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-4|Business Environment|Dependencies and critical functions for delivery of critical services are established|PE-11|PHYSICAL AND ENVIRONMENTAL PROTECTION|SP 800-53 Rev. 4|Cybersecurity|||Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-5|Business Environment|Resilience requirements to support delivery of critical services are established|CP-02|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.BE|ID.BE-5|Business Environment|Resilience requirements to support delivery of critical services are established|SA-14|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.BE|ID.BE-5|Business Environment|Resilience requirements to support delivery of critical services are established|CP-11|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.BE|ID.BE-5|Business Environment|Resilience requirements to support delivery of critical services are established|SA-13|SYSTEM AND SERVICES ACQUISITION|SP 800-53 Rev. 4|Cybersecurity||||
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|AC-01|ACCESS CONTROL|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|AT-01|Awareness and Training|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|AU-01|Audit and Accountability|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|CA-01|SECURITY ASSESSMENT AND AUTHORIZATION|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|CM-01|CONFIGURATION MANAGEMENT|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|CP-01|CONTINGENCY PLANNING|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|IA-01|IDENTIFICATION AND AUTHENTICATION|SP 800-53 Rev. 4|Cybersecurity||Yes|Yes|Yes
IDENTIFY (ID)|ID.GV|ID.GV-1|Governance|Organizational information security policy is established|IR-01|INCIDENT RESPONSE|SP 800-53 Rev. 4|Cybersecurity|Yes|Yes|Yes|Yes
